,Date,Acid/Fusion/POP,Drama_OST,Classic,Indie_Music,Music_OST,Ballad,Dance,Rock/Metal,R&B/Soul,Electronica,Rap/Hiphop,EDM,POP,J-POP,Adults_Music,Jazz,Newage,Folk/Blues,Ani/GameOST,-
95,2007-12,,,,,,,,,7.0175438596491215,,,0.0,0.8771929824561403,0.0,,,,,,0.0
96,2008-01,,,,,,,,,7.079646017699115,,,0.0,0.8849557522123894,0.0,,,,,,0.0
97,2008-02,,,,,,,,,6.086956521739131,,,0.0,0.8695652173913043,0.0,,,,,,0.0
98,2008-03,,,,,,,,,2.6785714285714284,,,0.0,0.8928571428571428,0.0,,,,,,0.8928571428571428
99,2008-04,,,,,,,,,4.62962962962963,,,0.0,0.9259259259259258,0.0,,,,,,0.0
100,2008-05,,,,,,,,,4.545454545454546,,,0.0,0.9090909090909092,0.0,,,,,,0.0
101,2008-06,,,,,,,,,7.339449541284404,,,0.0,0.9174311926605504,0.9174311926605504,,,,,,0.0
102,2008-07,,,,,,,,,3.738317757009345,,,0.0,0.9345794392523364,0.0,,,,,,0.9345794392523364
103,2008-08,,,,,,,,,2.8571428571428568,,,0.0,0.9523809523809524,0.0,,,,,,0.0
104,2008-09,,,,,,,,,2.727272727272727,,,0.0,0.9090909090909092,0.0,,,,,,0.0
105,2008-10,,,,,,,,,5.454545454545454,,,0.0,0.9090909090909092,0.9090909090909092,,,,,,0.0
106,2008-11,,,,,,,,,7.079646017699115,,,0.0,1.7699115044247788,0.8849557522123894,,,,,,0.0
107,2008-12,,,,,,,,,5.405405405405406,,,0.0,2.702702702702702,0.9009009009009008,,,,,,0.0
108,2009-01,,,,,,,,,5.982905982905983,,,0.0,2.564102564102564,0.8547008547008548,,,,,,0.0
109,2009-02,,,,,,,,,5.882352941176469,,,0.0,1.680672268907563,0.0,,,,,,0.0
110,2009-03,,,,,,,,,7.563025210084032,,,0.0,0.0,0.0,,,,,,0.0
111,2009-04,,,,,,,,,7.207207207207206,,,0.0,0.9009009009009008,0.0,,,,,,0.0
112,2009-05,,,,,,,,,5.607476635514018,,,0.0,0.0,0.0,,,,,,0.0
113,2009-06,,,,,,,,,6.5420560747663545,,,0.0,0.0,0.0,,,,,,0.9345794392523364
114,2009-07,,,,,,,,,3.7735849056603774,,,0.0,0.9433962264150944,0.0,,,,,,0.0
115,2009-08,,,,,,,,,0.9259259259259258,,,0.0,0.0,0.0,,,,,,0.0
116,2009-09,,,,,,,,,0.9433962264150944,,,0.0,0.9433962264150944,0.0,,,,,,0.0
117,2009-10,,,,,,,,,2.803738317757009,,,0.0,1.8691588785046729,0.0,,,,,,0.0
118,2009-11,,,,,,,,,2.7777777777777777,,,0.0,1.851851851851852,0.0,,,,,,1.851851851851852
119,2009-12,,,,,,,,,1.834862385321101,,,0.0,2.752293577981652,0.0,,,,,,0.0
120,2010-01,,,,,,,,,0.0,,,0.0,2.727272727272727,0.0,,,,,,0.0
121,2010-02,,,,,,,,,0.0,,,0.0,2.727272727272727,0.0,,,,,,0.0
122,2010-03,,,,,,,,,1.851851851851852,,,0.0,3.7037037037037033,0.0,,,,,,0.0
123,2010-04,,,,,,,,,1.8691588785046729,,,0.0,3.738317757009345,0.0,,,,,,0.9345794392523364
124,2010-05,,,,,,,,,6.422018348623854,,,0.0,1.834862385321101,0.0,,,,,,0.9174311926605504
125,2010-06,,,,,,,,,5.504587155963304,,,0.0,0.0,0.9174311926605504,,,,,,0.0
126,2010-07,,,,,,,,,7.142857142857142,,,0.0,0.0,0.0,,,,,,0.0
127,2010-08,,,,,,,,,5.5555555555555545,,,0.0,0.0,0.0,,,,,,0.0
128,2010-09,,,,,,,,,5.607476635514018,,,0.0,0.9345794392523364,0.0,,,,,,0.0
129,2010-10,,,,,,,,,1.8691588785046729,,,0.0,0.9345794392523364,0.0,,,,,,0.9345794392523364
130,2010-11,,,,,,,,,2.8301886792452837,,,0.0,1.8867924528301887,0.0,,,,,,0.0
131,2010-12,,,,,,,,,1.818181818181818,,,0.0,1.818181818181818,0.0,,,,,,0.0
132,2011-01,,,,,,,,,1.6949152542372878,,,0.0,0.0,0.0,,,,,,0.8474576271186439
133,2011-02,,,,,,,,,0.8695652173913043,,,0.0,2.608695652173913,0.0,,,,,,0.8695652173913043
134,2011-03,,,,,,,,,0.8771929824561403,,,0.0,1.7543859649122806,0.0,,,,,,0.8771929824561403
135,2011-04,,,,,,,,,0.9259259259259258,,,0.0,1.851851851851852,0.0,,,,,,0.9259259259259258
136,2011-05,,,,,,,,,1.8018018018018016,,,0.0,0.0,0.9009009009009008,,,,,,0.0
137,2011-06,,,,,,,,,3.418803418803419,,,0.0,0.0,0.0,,,,,,0.0
138,2011-07,,,,,,,,,3.361344537815126,,,0.0,1.680672268907563,0.0,,,,,,0.0
139,2011-08,,,,,,,,,2.586206896551724,,,0.0,0.8620689655172413,0.0,,,,,,0.0
140,2011-09,,,,,,,,,0.8849557522123894,,,0.0,0.8849557522123894,0.0,,,,,,0.0
141,2011-10,,,,,,,,,1.851851851851852,,,0.0,0.9259259259259258,0.0,,,,,,0.0
142,2011-11,,,,,,,,,1.818181818181818,,,0.0,0.9090909090909092,0.0,,,,,,0.0
143,2011-12,,,,,,,,,1.8867924528301887,,,0.0,0.9433962264150944,0.0,,,,,,0.0
144,2012-01,,,,,,,,,5.7142857142857135,,,0.0,0.9523809523809524,0.0,,,,,,0.0
145,2012-02,,,,,,,,,3.571428571428571,,,0.0,1.7857142857142856,0.0,,,,,,0.0
146,2012-03,,,,,,,,,1.7543859649122806,,,0.0,2.631578947368421,0.0,,,,,,0.0
147,2012-04,,,,,,,,,2.702702702702702,,,0.0,3.603603603603604,0.0,,,,,,0.0
148,2012-05,,,,,,,,,3.7037037037037033,,,0.0,1.851851851851852,0.0,,,,,,0.0
149,2012-06,,,,,,,,,2.6785714285714284,,,0.0,1.7857142857142856,0.0,,,,,,0.0
150,2012-07,,,,,,,,,0.9009009009009008,,,0.0,1.8018018018018016,0.0,,,,,,0.0
151,2012-08,,,,,,,,,0.0,,,0.0,1.8018018018018016,0.0,,,,,,0.9009009009009008
152,2012-09,,,,,,,,,5.932203389830509,,,0.0,2.5423728813559325,0.0,,,,,,0.0
